condition,view,target,split,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary
F_I,A,civilian_at_work,source_validation_person_weighted,3,3,True,0.3217698031961945,0.02356869048359392,0.3217698031961945,0.02356869048359392,3,True,False
F_I,A,civilian_at_work,development_evaluation,3,3,True,0.30345572551420164,0.006722924302560411,0.30345572551420164,0.006722924302560411,3,True,False
F_I,A,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.293512647234923,0.01471783802148644,0.293512647234923,0.01471783802148644,3,True,False
F_I,B,public_coverage,source_validation,3,3,True,0.5345299945709259,0.007518340931081005,0.5345299945709259,0.007518340931081005,3,True,False
F_I,B,public_coverage,source_validation_person_weighted,3,3,True,0.5415783415188258,0.01919872496933015,0.5415783415188258,0.01919872496933015,3,True,False
F_I,B,public_coverage,development_evaluation,3,3,True,0.5607360978254732,0.017982086529357223,0.5607360978254732,0.017982086529357223,3,True,False
F_I,B,public_coverage,development_evaluation_person_weighted,3,3,True,0.568005582633485,0.012300937167386077,0.568005582633485,0.012300937167386077,3,True,False
F_Iplus,A,income_binary,source_validation,3,3,True,0.30420292221658474,0.006034598299902178,0.30420292221658474,0.006034598299902178,3,True,False
F_Iplus,A,income_binary,source_validation_person_weighted,3,3,True,0.2990705851054855,0.0036755732702396576,0.2990705851054855,0.0036755732702396576,3,True,False
F_Iplus,A,income_binary,development_evaluation,3,3,True,0.2982624671257306,0.014075176754066368,0.2982624671257306,0.014075176754066368,3,True,False
F_Iplus,A,income_binary,development_evaluation_person_weighted,3,3,True,0.31010668930250945,0.015470666940798673,0.31010668930250945,0.015470666940798673,3,True,False
F_Iplus,A,civilian_at_work,source_validation,3,3,True,0.3198632959685167,0.02297073146341794,0.3198632959685167,0.02297073146341794,3,True,False
F_Iplus,A,civilian_at_work,source_validation_person_weighted,3,3,True,0.32155124884633796,0.023856941457913367,0.32155124884633796,0.023856941457913367,3,True,False
F_Iplus,A,civilian_at_work,development_evaluation,3,3,True,0.3050439800110177,0.0069714003851853975,0.3050439800110177,0.0069714003851853975,3,True,False
F_Iplus,A,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.2955197291264815,0.015841495473985966,0.2955197291264815,0.015841495473985966,3,True,False
F_Iplus,B,public_coverage,source_validation,3,3,True,0.5357237539667924,0.009667358158906235,0.5357237539667924,0.009667358158906235,3,True,False
F_Iplus,B,public_coverage,source_validation_person_weighted,3,3,True,0.5440760919351341,0.020795749037217443,0.5440760919351341,0.020795749037217443,3,True,False
F_Iplus,B,public_coverage,development_evaluation,3,3,True,0.5606896110283484,0.017923768724465872,0.5606896110283484,0.017923768724465872,3,True,False
F_Iplus,B,public_coverage,development_evaluation_person_weighted,3,3,True,0.5677893432838953,0.011422665557880613,0.5677893432838953,0.011422665557880613,3,True,False
F_J,A,income_binary,source_validation,3,3,True,0.3040333152608589,0.007371382658620009,0.3040333152608589,0.007371382658620009,3,True,False
F_J,A,income_binary,source_validation_person_weighted,3,3,True,0.299147422949743,0.005832836132366712,0.299147422949743,0.005832836132366712,3,True,False
F_J,A,income_binary,development_evaluation,3,3,True,0.298024719651847,0.0145874473528654,0.298024719651847,0.0145874473528654,3,True,False
F_J,A,income_binary,development_evaluation_person_weighted,3,3,True,0.3089028028909432,0.016812541996849787,0.3089028028909432,0.016812541996849787,3,True,False
F_J,A,civilian_at_work,source_validation,3,3,True,0.3207063483755594,0.025202241513565843,0.3207063483755594,0.025202241513565843,3,True,False
F_J,A,civilian_at_work,source_validation_person_weighted,3,3,True,0.3226722916723262,0.026980572927526852,0.3226722916723262,0.026980572927526852,3,True,False
F_J,A,civilian_at_work,development_evaluation,3,3,True,0.30538894208901496,0.007585782210118447,0.30538894208901496,0.007585782210118447,3,True,False
F_J,A,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.2954653991197692,0.016532676202351944,0.2954653991197692,0.016532676202351944,3,True,False
F_J,B,public_coverage,source_validation,3,3,True,0.5352973556230248,0.009292875184721829,0.5352973556230248,0.009292875184721829,3,True,False
F_J,B,public_coverage,source_validation_person_weighted,3,3,True,0.5422573842557629,0.022589335566030554,0.5422573842557629,0.022589335566030554,3,True,False
F_J,B,public_coverage,development_evaluation,3,3,True,0.5618874497391046,0.016681655267788892,0.5618874497391046,0.016681655267788892,3,True,False
F_J,B,public_coverage,development_evaluation_person_weighted,3,3,True,0.5691148288562772,0.010366275620830617,0.5691148288562772,0.010366275620830617,3,True,False
P_I,A,income_binary,source_validation,3,3,True,0.30431372438419435,0.00811246717029958,0.30431372438419435,0.00811246717029958,3,True,False
P_I,A,income_binary,source_validation_person_weighted,3,3,True,0.2985831864488439,0.006602006926539863,0.2985831864488439,0.006602006926539863,3,True,False
P_I,A,income_binary,development_evaluation,3,3,True,0.29853954312862385,0.014160469819374369,0.29853954312862385,0.014160469819374369,3,True,False
P_I,A,income_binary,development_evaluation_person_weighted,3,3,True,0.3100437432764764,0.015533203294234452,0.3100437432764764,0.015533203294234452,3,True,False
P_I,A,civilian_at_work,source_validation,3,3,True,0.3205181124639145,0.023239725671719356,0.3205181124639145,0.023239725671719356,3,True,False
P_I,A,civilian_at_work,source_validation_person_weighted,3,3,True,0.32290108010644347,0.02119226303628817,0.32290108010644347,0.02119226303628817,3,True,False
P_I,A,civilian_at_work,development_evaluation,3,3,True,0.3040093032341858,0.0056692343229863065,0.3040093032341858,0.0056692343229863065,3,True,False
P_I,A,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.29387608347635574,0.013181863881393334,0.29387608347635574,0.013181863881393334,3,True,False
P_I,B,public_coverage,source_validation,3,3,True,0.5351658524380957,0.008698614790570137,0.5351658524380957,0.008698614790570137,3,True,False
P_I,B,public_coverage,source_validation_person_weighted,3,3,True,0.5424372090655133,0.0188004946371177,0.5424372090655133,0.0188004946371177,3,True,False
P_I,B,public_coverage,development_evaluation,3,3,True,0.559201574468791,0.017396599416845668,0.559201574468791,0.017396599416845668,3,True,False
P_I,B,public_coverage,development_evaluation_person_weighted,3,3,True,0.5677234122363195,0.01016545507725581,0.5677234122363195,0.01016545507725581,3,True,False
P_Iplus,A,income_binary,source_validation,3,3,True,0.30486226626061963,0.00798231821745591,0.30486226626061963,0.00798231821745591,3,True,False
P_Iplus,A,income_binary,source_validation_person_weighted,3,3,True,0.2998205431012347,0.006801723580198718,0.2998205431012347,0.006801723580198718,3,True,False
P_Iplus,A,income_binary,development_evaluation,3,3,True,0.29930646917590203,0.013992940690791444,0.29930646917590203,0.013992940690791444,3,True,False
P_Iplus,A,income_binary,development_evaluation_person_weighted,3,3,True,0.3108243187508073,0.015110741820764583,0.3108243187508073,0.015110741820764583,3,True,False
P_Iplus,A,civilian_at_work,source_validation,3,3,True,0.3204157746238245,0.023291653878414153,0.3204157746238245,0.023291653878414153,3,True,False
P_Iplus,A,civilian_at_work,source_validation_person_weighted,3,3,True,0.3226990625982188,0.02197502805684053,0.3226990625982188,0.02197502805684053,3,True,False
P_Iplus,A,civilian_at_work,development_evaluation,3,3,True,0.3042757330998801,0.005569369762533642,0.3042757330998801,0.005569369762533642,3,True,False
P_Iplus,A,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.29457870845311795,0.013305920590770565,0.29457870845311795,0.013305920590770565,3,True,False
P_Iplus,B,public_coverage,source_validation,3,3,True,0.5370984210941279,0.009494189022241972,0.5370984210941279,0.009494189022241972,3,True,False
P_Iplus,B,public_coverage,source_validation_person_weighted,3,3,True,0.545244339113553,0.018793458104575774,0.545244339113553,0.018793458104575774,3,True,False
P_Iplus,B,public_coverage,development_evaluation,3,3,True,0.5607491319439167,0.017141520904323786,0.5607491319439167,0.017141520904323786,3,True,False
P_Iplus,B,public_coverage,development_evaluation_person_weighted,3,3,True,0.5690339401533471,0.010278299595422325,0.5690339401533471,0.010278299595422325,3,True,False
P_J,A,income_binary,source_validation,3,3,True,0.305078054748375,0.007878601949374005,0.305078054748375,0.007878601949374005,3,True,False
P_J,A,income_binary,source_validation_person_weighted,3,3,True,0.29929541779701,0.006902378040763394,0.29929541779701,0.006902378040763394,3,True,False
P_J,A,income_binary,development_evaluation,3,3,True,0.2991173458005172,0.014386662115071308,0.2991173458005172,0.014386662115071308,3,True,False
P_J,A,income_binary,development_evaluation_person_weighted,3,3,True,0.3107661314538642,0.016066567380586053,0.3107661314538642,0.016066567380586053,3,True,False
P_J,A,civilian_at_work,source_validation,3,3,True,0.3209652358110216,0.023178357387712328,0.3209652358110216,0.023178357387712328,3,True,False
P_J,A,civilian_at_work,source_validation_person_weighted,3,3,True,0.32298848814264625,0.02131241539666547,0.32298848814264625,0.02131241539666547,3,True,False
P_J,A,civilian_at_work,development_evaluation,3,3,True,0.3046094272045287,0.006339863132629506,0.3046094272045287,0.006339863132629506,3,True,False
P_J,A,civilian_at_work,development_evaluation_person_weighted,3,3,True,0.29447027352745897,0.01393931131141671,0.29447027352745897,0.01393931131141671,3,True,False
P_J,B,public_coverage,source_validation,3,3,True,0.5369165833685595,0.009687231760020207,0.5369165833685595,0.009687231760020207,3,True,False
P_J,B,public_coverage,source_validation_person_weighted,3,3,True,0.5442377196658645,0.01960538345074498,0.5442377196658645,0.01960538345074498,3,True,False
P_J,B,public_coverage,development_evaluation,3,3,True,0.5602860986519907,0.017339024621965436,0.5602860986519907,0.017339024621965436,3,True,False
P_J,B,public_coverage,development_evaluation_person_weighted,3,3,True,0.5692940794802517,0.010331441327093056,0.5692940794802517,0.010331441327093056,3,True,False
