family,contrast,endpoint,weight,seed_mean,seed_0,seed_1,seed_2,all_seeds_match_seed_mean_sign,development_seed_mean,seed_mean_matches_development_sign,all_seeds_match_development_sign
F2_neural_replication,J - L025,recovery/AB/RAC1P,person_weighted,-0.005996114808697606,-0.0056451338774125975,-0.009934527082390593,-0.0024086834662896267,True,-0.0053325949372788,True,True
F2_neural_replication,J - L20,utility/same_residence,unweighted,-0.0007539172251897671,0.007265526458830496,-0.010166911985183158,0.000639633850783361,False,-0.0036812434326875336,True,False
F2_neural_replication,J - L20,utility/same_residence,person_weighted,-0.001286748704128482,0.007293888193942388,-0.011399212793241076,0.00024507848691324163,False,-0.004159376679068167,True,False
F2_neural_replication,J - L20,recovery/A/SEX,unweighted,-0.0024475469015136624,-0.004356262114399397,0.0,-0.0029863785901415897,False,-0.005917906019970168,True,False
F2_neural_replication,J - L20,recovery/A/SEX,person_weighted,-0.0024624966328017175,-0.006443723826400745,0.0,-0.0009437660720044072,False,-0.006631646289818434,True,False
F2_neural_replication,J - L20,recovery/AB/SEX,unweighted,-0.007117543312073301,-0.004154403746108664,-0.00559561363980671,-0.011602612550304528,True,-0.007788940428056434,True,True
F2_neural_replication,J - L20,recovery/AB/SEX,person_weighted,-0.006106660949437769,-0.0024540341726552485,-0.0027359869865067193,-0.013129961689151337,True,-0.0021813040974185665,True,True
F2_neural_replication,J - L20,recovery/A/RAC1P,unweighted,-0.0006578266224952615,-0.009179878180633042,0.002174942247116368,0.005031456066030889,False,0.005152961074154566,False,False
F2_neural_replication,J - L20,recovery/A/RAC1P,person_weighted,-0.003133133985183379,-0.01321367174070727,-0.001710060636042312,0.005524330421199444,False,0.004064382515264034,False,False
F2_neural_replication,J - L20,recovery/AB/RAC1P,unweighted,-0.009363611062103464,-0.013269848568637499,-0.005854463165047806,-0.008966521452625088,True,-0.006480598956605867,True,True
F2_neural_replication,J - L20,recovery/AB/RAC1P,person_weighted,-0.007161485406929909,-0.01084258824955938,-0.0063547395085418595,-0.004287128462688486,True,-0.0036573157381269996,True,True
F3_secondary,spectral_C1 - J,utility/same_residence,unweighted,-0.009316138012003372,-0.014133227539697257,-0.0020465070164427113,-0.011768679479870148,True,-0.004951397549213099,True,True
F3_secondary,spectral_C1 - J,utility/same_residence,person_weighted,-0.008147583500035582,-0.014133843955129288,0.00022623877545596693,-0.010535145320433426,False,-0.0046721854192147,True,False
F3_secondary,spectral_C1 - J,recovery/A/SEX,unweighted,0.013008799019867352,0.02005023987083674,0.0034428663527038238,0.015533290836061487,True,0.018197459907020697,True,True
F3_secondary,spectral_C1 - J,recovery/A/SEX,person_weighted,0.014394555268012234,0.024746341112497964,0.0009678733310052555,0.01746945136053348,True,0.0170950556705876,True,True
F3_secondary,spectral_C1 - J,recovery/AB/SEX,unweighted,0.006965726546809778,0.00877797873400951,0.0014002022171637936,0.010718998689256033,True,0.008674647538820099,True,True
F3_secondary,spectral_C1 - J,recovery/AB/SEX,person_weighted,0.008926986284559225,0.011431953412910945,0.0011812646382771408,0.014167740802489592,True,0.007113011347578666,True,True
F3_secondary,spectral_C1 - J,recovery/A/RAC1P,unweighted,0.03767236966726777,0.04278886183595319,0.03826535622833423,0.03196289093751589,True,0.020304747954735768,True,True
F3_secondary,spectral_C1 - J,recovery/A/RAC1P,person_weighted,0.03422174596917061,0.042283927378612134,0.03367019026285187,0.02671112026604782,True,0.017403311661347867,True,True
F3_secondary,spectral_C1 - J,recovery/AB/RAC1P,unweighted,0.03267942271913882,0.033033747057528165,0.031822040854038454,0.033182480245849834,True,0.017420507876113534,True,True
F3_secondary,spectral_C1 - J,recovery/AB/RAC1P,person_weighted,0.02902748581202498,0.029588717513803264,0.0297113301900473,0.027782409732224372,True,0.012466031073841567,True,True
F4_frozen_transfer,spectral_C1 - spectral_L1,utility/same_residence,unweighted,0.0009359618424910066,0.0029965195304648695,0.0006582306522572301,-0.0008468646552490799,False,0.0023063056056596,True,False
F4_frozen_transfer,spectral_C1 - spectral_L1,utility/same_residence,person_weighted,0.00014720013150800365,0.0001146070862995674,0.0012594046937679515,-0.0009324113855435079,False,0.0018486551991234665,True,False
F4_frozen_transfer,spectral_C1 - spectral_L1,recovery/A/SEX,unweighted,-0.0031818872563938315,-0.0030550787362660543,-0.004551489299408169,-0.0019390937335072717,True,-0.0015185483611322333,True,True
F4_frozen_transfer,spectral_C1 - spectral_L1,recovery/A/SEX,person_weighted,-0.0035707746354137525,-0.002619264827067584,-0.004705769669914435,-0.0033872894092592393,True,-0.002038472904951467,True,True
F4_frozen_transfer,spectral_C1 - spectral_L1,recovery/AB/SEX,unweighted,-0.004158481909409486,-0.0025124154748861274,-0.0054293651427556565,-0.0045336651105866745,True,-0.005149519287908067,True,True
F4_frozen_transfer,spectral_C1 - spectral_L1,recovery/AB/SEX,person_weighted,-0.003996388743099551,-0.0033827589522334583,-0.005230666813084046,-0.0033757404639811472,True,-0.006029618188310067,True,True
F4_frozen_transfer,spectral_C1 - spectral_L1,recovery/A/RAC1P,unweighted,-0.011977571271887227,-0.010113345067459756,-0.015339984459988971,-0.010479384288212955,True,-0.010658035141672366,True,True
F4_frozen_transfer,spectral_C1 - spectral_L1,recovery/A/RAC1P,person_weighted,-0.012816130058313358,-0.012067827241129071,-0.01621773896415009,-0.010162823969660909,True,-0.012032948288783133,True,True
F4_frozen_transfer,spectral_C1 - spectral_L1,recovery/AB/RAC1P,unweighted,-0.01283902106436026,-0.0054010768819284655,-0.017605745635503697,-0.015510240675648615,True,-0.0142668569356243,True,True
F4_frozen_transfer,spectral_C1 - spectral_L1,recovery/AB/RAC1P,person_weighted,-0.014680470929832504,-0.008602403145563875,-0.017596710891382046,-0.01784229875255159,True,-0.015021786509925033,True,True
F4_frozen_transfer,spectral_C1 - spectral_L2,utility/same_residence,unweighted,0.0001396281818278518,-0.0007164870654896571,0.002570311126633973,-0.0014349395156607603,False,0.0020568596355590757,True,False
F4_frozen_transfer,spectral_C1 - spectral_L2,utility/same_residence,person_weighted,-0.00038720352634182464,-0.0005339705756338686,0.0009072325753579635,-0.0015348725787495687,False,0.0018097452570517,False,False
F4_frozen_transfer,spectral_C1 - spectral_L2,recovery/A/SEX,unweighted,-0.0004349310050041678,-0.001109538700503794,-0.0010228735275476172,0.0008276192130389076,False,-0.0006523449016776001,True,False
F4_frozen_transfer,spectral_C1 - spectral_L2,recovery/A/SEX,person_weighted,-0.0007594353350610303,-0.0010301903869399005,-0.0012270383755157883,-2.1077242727401968e-05,True,-0.0014202637413465666,True,True
F4_frozen_transfer,spectral_C1 - spectral_L2,recovery/AB/SEX,unweighted,-0.0010629802732057662,0.00017781243997744625,-0.000283118260520316,-0.003083634999074429,False,-0.00031852908854409996,True,False
F4_frozen_transfer,spectral_C1 - spectral_L2,recovery/AB/SEX,person_weighted,-0.0006346031164280464,-0.000698127988080343,7.803497668303072e-06,-0.0012134848588720992,False,-0.000912747691946,True,False
F4_frozen_transfer,spectral_C1 - spectral_L2,recovery/A/RAC1P,unweighted,-0.00772151898074791,-0.00598927254557631,-0.009243398890975571,-0.00793188550569185,True,-0.0053085961424718005,True,True
F4_frozen_transfer,spectral_C1 - spectral_L2,recovery/A/RAC1P,person_weighted,-0.007520319562671331,-0.006879674607539549,-0.009495113135726388,-0.006186170944748055,True,-0.005534409675829933,True,True
F4_frozen_transfer,spectral_C1 - spectral_L2,recovery/AB/RAC1P,unweighted,-0.006126402720097429,-0.001253309632108221,-0.008199660750482271,-0.008926237777701795,True,-0.0005733455774876001,True,True
F4_frozen_transfer,spectral_C1 - spectral_L2,recovery/AB/RAC1P,person_weighted,-0.007868883940044938,-0.005262027033884717,-0.006944655205707591,-0.011399969580542506,True,-0.0004233782159733333,True,True
F4_frozen_transfer,J - L025,utility/same_residence,unweighted,-0.0014754561300222011,0.002055756707760592,-0.006566973051894354,8.484795406715762e-05,False,-0.0034301799376865332,True,False
F4_frozen_transfer,J - L025,utility/same_residence,person_weighted,-0.0005333736432875565,0.003672392423584303,-0.005831730773531885,0.000559217420084912,False,-0.0030943548508973,True,False
F4_frozen_transfer,J - L025,recovery/A/SEX,unweighted,-0.0035059771361584946,-0.007495639973333424,0.0,-0.0030222914351420594,False,-0.0047670484943005,True,False
F4_frozen_transfer,J - L025,recovery/A/SEX,person_weighted,-0.004908619145026265,-0.009402192258236962,0.0,-0.005323665176841832,False,-0.0056348644055028005,True,False
F4_frozen_transfer,J - L025,recovery/AB/SEX,unweighted,-0.004702212332584069,-0.010859771634050124,0.0,-0.0032468653637020804,False,0.0009446634967333333,False,False
F4_frozen_transfer,J - L025,recovery/AB/SEX,person_weighted,-0.003792957208253015,-0.0075388950819321125,0.0,-0.003839976542826932,False,-0.0003544180347331333,True,False
F4_frozen_transfer,J - L025,recovery/A/RAC1P,unweighted,-0.0013961135981659482,-0.004423748418353298,-0.0016427148957270273,0.0018781225195824806,False,-0.0023585608532756667,True,False
F4_frozen_transfer,J - L025,recovery/A/RAC1P,person_weighted,-5.017033521120817e-05,-0.0020342457802279,-0.001193253550417387,0.0030769883250116627,False,-0.0023839703694238336,True,False
F4_frozen_transfer,J - L025,recovery/AB/RAC1P,unweighted,-0.0030558370483534476,0.0,-0.003572089802114875,-0.005595421342945467,False,-0.0059637791613124,True,False
F4_frozen_transfer,J - L025,recovery/AB/RAC1P,person_weighted,-0.004104715078145883,0.0,-0.007208107283068248,-0.005106037951369401,False,-0.0053325949372788,True,False
F4_frozen_transfer,J - L20,utility/same_residence,unweighted,-0.0012679764198652392,0.004167901089462633,-0.009190211260761028,0.0012183809117026767,False,-0.0036812434326875336,True,False
F4_frozen_transfer,J - L20,utility/same_residence,person_weighted,-0.0010445369120533994,0.004061972158283855,-0.009011898758540526,0.0018163158640964738,False,-0.004159376679068167,True,False
F4_frozen_transfer,J - L20,recovery/A/SEX,unweighted,0.004567230460588802,-0.0020154585675206684,0.018456892135658494,-0.002739742186371419,False,-0.005917906019970168,False,False
F4_frozen_transfer,J - L20,recovery/A/SEX,person_weighted,0.001604001761651133,-0.0027772410392705752,0.014122711468999696,-0.006533465144775721,False,-0.006631646289818434,False,False
F4_frozen_transfer,J - L20,recovery/AB/SEX,unweighted,-0.006388271690136159,-0.0021986077339801284,-0.005754611114061125,-0.011211596222367224,True,-0.007788940428056434,True,True
F4_frozen_transfer,J - L20,recovery/AB/SEX,person_weighted,-0.005621293152334405,-0.000528828416386776,-0.005154338947087073,-0.011180712093529364,True,-0.0021813040974185665,True,True
F4_frozen_transfer,J - L20,recovery/A/RAC1P,unweighted,0.004274896324652056,0.002647299284348991,0.0076752248765444425,0.0025021648130627364,True,0.005152961074154566,True,True
F4_frozen_transfer,J - L20,recovery/A/RAC1P,person_weighted,0.006656087769485285,0.008046250104444288,0.007114747203750646,0.004807266000260921,True,0.004064382515264034,True,True
F4_frozen_transfer,J - L20,recovery/AB/RAC1P,unweighted,-0.006460309671032091,-0.011097349577109075,-0.001971309945859187,-0.00631226949012801,True,-0.006480598956605867,True,True
F4_frozen_transfer,J - L20,recovery/AB/RAC1P,person_weighted,-0.005997004374509428,-0.010022566790428178,-0.002486284855158727,-0.00548216147794138,True,-0.0036573157381269996,True,True
