id,claim,status,source_commit,source_file,source_key,dataset_year,statistical_family,value,caveat,manuscript_location
V09-OptNet-C1,Adapted OptNet-C1 recovers significantly less than the repaired mechanism riv16-C1 on the sensitive endpoints.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,optnet16_C1-spectral_riv16_C1,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","8 of 8 sensitive cells significantly better (4 endpoints x 2 weightings); residence +0.00857 [+0.00231, +0.01483] SIGNIFICANTLY WORSE","An ADAPTATION, not a replica. Its guarantee (where it has one) covers the transformed channel on the moments it was fitted on, not the augmented release the attacker holds. Shared policy coefficients do not imply equal effective regularisation.",Abstract (iv); sec:external Table 3
V09-OptNet-L2,Adapted OptNet-L2 recovers significantly less than the repaired mechanism riv16-C1 on the sensitive endpoints.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,optnet16_L2-spectral_riv16_C1,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","8 of 8 sensitive cells significantly better (4 endpoints x 2 weightings); residence +0.00965 [+0.00328, +0.01602] SIGNIFICANTLY WORSE","An ADAPTATION, not a replica. Its guarantee (where it has one) covers the transformed channel on the moments it was fitted on, not the augmented release the attacker holds. Shared policy coefficients do not imply equal effective regularisation.",Abstract (iv); sec:external Table 3
V10,"""LEACE dominates the repaired mechanism with no statistically detectable residence cost"" is NOT supported.","WITHDRAWN (the word ""dominates"" and the ""no cost"" clause)",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,leace_A0-spectral_riv16_C1 and leace_A0-A0 / utility/same_residence,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","vs riv16-C1: +0.00357 [-0.00284, +0.00999] UNRESOLVED | vs its own source A0: +0.00978 [+0.00363, +0.01593] SIGNIFICANTLY WORSE | mean residence gain A0 0.0318 -> leace_A0 0.0220","Non-significance is not absence: the interval admits a cost up to 0.010 nats, larger than the recovery advantage on three endpoints, and it CONTAINS SPLINCE's +0.00888 which the same analysis calls significant. Against the channel LEACE actually transformed, the cost IS significant.",sec:external; sec:withdrawn 1; CORRECTIONS B1
V11,"LEACE, SPLINCE, OptNet-C1 and OptNet-L2 are not separated from J on any family endpoint; the repaired mechanism is significantly worse on three of four.","NARROWED (unresolved, not equivalent)",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,comparison_family=external_vs_J,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","leace_A0-J A/SEX unweighted +0.00548 [-0.00063, +0.01158] UNRESOLVED; optnet16_L1-J A/SEX unweighted +0.01038 [+0.00249, +0.01827] SIGNIFICANTLY WORSE; spectral_riv16_C1-J A/SEX unweighted +0.01353 [+0.00586, +0.02120] SIGNIFICANTLY WORSE","NO equivalence or non-inferiority test was run for these cells. All three external point estimates lean towards J on local sex, two missing significance by under 0.0007. OptNet-L1 IS significantly worse than J.",sec:external Table 4; sec:withdrawn 2; CORRECTIONS B2
V12,J is not Pareto-dominant: it supplies less authorised capability than several spectral arms.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PAIRED_INTERVALS.csv,"spectral_riv16_{C1,L1}-J / utility/same_residence",ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","riv16-C1 - J -0.00406 [-0.01164, +0.00352] UNRESOLVED; riv16-L1 - J -0.00797 [-0.01569, -0.00025] SIGNIFICANTLY BETTER; mean residence gain J 0.0215 vs riv16-C1 0.0256","Negative residence means the spectral arm supplies MORE capability. The comparison is a trade, not a domination, in either direction.",sec:study1; sec:withdrawn 3; CORRECTIONS B3
V13,Protected-class support in the fitting pool determines the realised width of a linearly erased channel.,"SUPPORTED, with the denominator corrected",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/ERASURE_BASELINES.json,seeds.*.leace_A0.realised_projection_rank; coverage.RAC1P.support_complete_cases,ACS 2018 (development; pools used repeatedly),none (exact rank arithmetic),"realised width 6, 6, 7 of 16; race class 3 support in that seed's own fitting pool 1, 1, 0","These are FITTING-POOL counts, not population support. The category is not absent from California. A class without support is unmeasured, not protected.",sec:external; app:study3; CORRECTIONS B7
V14,"The marginal spectral arms ARE SARL-style adaptations, with one measured mismatch.",SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/ALIAS_AUDIT.json,seeds.*.arms[*].stored_map_bitwise_identical; sarl_gram_subspace_distance,ACS 2018 (development; pools used repeatedly),none (bitwise rebuild),bitwise identical (max abs diff 0.0) for both marginal arms in all three seeds; per-attribute trace reweighting moves the subspace by projector Frobenius distance 0.10-0.20; 6 duplicate fits avoided,"Equivalence is claimed to the PAPER, not to the official code path, which takes the algebraically smallest eigenvectors with no sign test - a subspace at distance 5.657 of a maximum 5.657.",sec:external; RELATED_WORK_COMPARISON sec 4
V15,"nlr8-C1 is significantly worse than J on local sex; the person-weighted deficit is +0.01210, not +0.0098.",CARRIED CORRECTION (verified),c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/PAIRED_INTERVALS.csv,spectral_nlr8_C1-J / recovery/A/SEX,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","unweighted +0.01065 [+0.00331, +0.01799] SIGNIFICANTLY WORSE; person-weighted +0.01210 [+0.00441, +0.01978] SIGNIFICANTLY WORSE","nlr8-C1 was selected as best after inspecting 12 new conditions. That is a selection, and A/sex is the endpoint a selective reading would omit.",sec:study23; sec:withdrawn 7; app:study2
V16,"""No endpoint significantly worse"" for the nonlinear-penalty factor is false.",CARRIED WITHDRAWAL (verified),c37807e4f568ef38e5528fc09c1506083278bf4d,results/pcrl_nonlinear_rank_v1/PAIRED_INTERVALS.csv,spectral_nlr8_L1-spectral_lin8_L1 / recovery/A/RAC1P,ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates, 20147 cohort-household clusters; single-step studentised max-|t| simultaneous, within contrast x weighting","unweighted +0.00862 [+0.00168, +0.01556] SIGNIFICANTLY WORSE; person-weighted +0.00681 [-0.00141, +0.01503] UNRESOLVED",The correction holds under ONE weighting; the manuscript says which.,sec:study23; sec:withdrawn 7; app:study2
V17,Paired contrasts between arms are invariant to the attack scope; H-relative levels and ratios are not.,"SUPPORTED (new in v3, independently derived)",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/PER_SEED.csv,"kind in {absolute_recovery, additional_recovery}, endpoint A/SEX, budget 360, split test",ACS 2018 (development; pools used repeatedly),"seed means, no interval",H absolute 0.00142 -> 0.00708; riv16-C1 absolute 0.01589 (unchanged); leace_A0 - riv16-C1 = -0.00805 on BOTH scales,"The reporting scope gives H and the frozen historical interfaces their saved-observer catch-up attacks; the new arms have none. J's absolute recovery FALLS when given more candidates, which is a measured instance of a selected attack generalising worse.",sec:limits; app:scope; CORRECTIONS B11
V18,No reported number is an upper bound on recoverable information.,NOT CLAIMED (scope statement),73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/VALIDATION.md,section 8,all,n/a,22 of 429 unweighted role-cells have NEGATIVE additional recovery; J's own local-sex increment is negative under person weighting with an interval excluding zero,"Validation-selected finite attacks attain no infimum, so the differences bound I(S;Z|H) in neither direction. Negative increments are reported unclipped.","sec:method; sec:limits; app:math M2, M3"
V19,Nothing in this work is a certificate of conditional independence or an information bound.,NOT CLAIMED (scope statement),73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/METHOD.md,"sections 3.4, 3.7, 7",all,n/a,"kernel block conditional-null floor 7.13e-4 at m=512 under oracle nuisances, decaying ~1/m; a misspecified nuisance manufactures a penalty >10x the oracle value under EXACT conditional independence",The floor applies equally to every arm so it does not bias comparisons; it bounds what an absolute block value can mean. No Type-I control inherited from KCI or RCoT.,"sec:method; sec:limits; app:math M4c, M5"
V20,ACS 2016 remains unscored and is not authorised by any result here.,SUPPORTED (scope boundary),73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/RUN_STATUS.md,Scope boundaries in force,ACS 2016 (UNSCORED),n/a,"no label, output, transform or performance figure inspected; admission is provenance and schema only, with a prospective label-blind split prepared",A development result is not a reason to spend the one unused year. A positive development result may MOTIVATE a confirmation; it cannot inherit sealed status.,sec:limits; Table 1
V21,"Numerical faults were observed during Study 3; memory pressure is an associated condition, not a demonstrated cause.","REPORTED, with a stale contradicting document flagged",73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/RUN_STATUS.md,"Failures and repairs, item 4",ACS 2017 exploratory stage,n/a,"4 aborts, captured signature a probability row summing to exactly zero; 4 QUARANTINE.json records; every unit recomputed by the unpatched pipeline; no corrupted array reached any table",VALIDATION.md sections 4 and 5 state no such fault occurred; that file predates the stage. The manuscript follows RUN_STATUS.md. Nothing here claims the machine is now proved reliable.,sec:limits; CORRECTIONS B10
V22,Only recipient A receives a learned channel; no multi-channel or arbitrary-coalition validation is claimed.,SCOPE LIMIT,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/METHOD.md,section 6,all,n/a,A wire width 20 = H_A (4) + channel (16); AB wire width 22; H_B unchanged in every arm,"The coalition penalty is a constraint on one channel given another recipient's fixed view, not a multi-channel design.",sec:interface
V23,"Residence and commute labels enter no representation fit, but residence is not a pristine unseen task.",SCOPE LIMIT,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/METHOD.md,"sections 1, 3.1, 6",all,n/a,"subset selection uses only validity masks and an RNG; selection never consults attackers, residence, commute, development outcomes or the transport table","Residence outcomes have been used repeatedly across this line of work as the utility endpoint, so choosing residence as the capability measure is itself a development decision. No unseen-task generality is claimed.",sec:interface; sec:limits
V24,Fit ledger for Study 3.,SUPPORTED,73903b7f28df68284285f0610a4036beb32b208f,results/pcrl_invariant_baselines_v1/FIT_SUMMARY.json,fit_ledger,ACS 2018 (development; pools used repeatedly),n/a,"33 new mapper fits (18 repaired + 3 LEACE + 3 SPLINCE + 9 OptNet) against a nominal 33; 0 SARL fits by proved alias, avoiding 6; 27 historical/predecessor conditions reused and never refitted",Counts describe implementation effort. They are not scientific evidence and no claim rests on them. A cache read is never counted as a new fit.,app:study3
V25,Terminal 1's fourth study registered its protocol during this revision and was still fitting; no result from it has been read.,SUPERSEDED (Study 4 integrated in v4 at 69e790af),86f142c4a4324c4dc71c8d094eecd48b29af640d,"results/pcrl_direct_adversarial_v1/{PROTOCOL.md,METHOD.md,MATRIX.json,RUN_STATUS.md}",declared_total; fit_counts; blocks,ACS 2018 development + 2017 exploratory panel (69 units),"registered: candidate-wide simultaneous over every contrast searched for a winning claim x 5 endpoints x 2 weightings (m = 860); realised correction is a studentized Bonferroni bound, z = 4.02, because the registered percentile form is not estimable at 2000 replicates","126 fits declared (main 72, no_protection 6, single_attacker 12, new_erasure 12, optimizer_repeat 24); phases 1-5 open; all 10 protocol preconditions satisfied, 1 watch item (P6)","The protocol was READ; no fitted object, checkpoint, log or partial score was opened and no number from it appears in the manuscript. Protocol checks cannot pre-validate results. Realised counts must be read from the run ledger at completion, not from this matrix.",Table 1 row 4; app:pending; PENDING_EXPERIMENT_INTEGRATION.md
W01,"Direct adversarial refinement does not improve the frontier: across the frontier_vs_comparator family 189 cells are candidate-wide significantly worse and 18 better, all 18 on residence utility.",SUPPORTED,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/PAIRED_INTERVALS.csv,frontier_vs_comparator,ACS 2018 development,studentized Bonferroni over 850-row candidate-wide family; 400 rows in this family,189 worse / 18 better / 400 rows,Development pools used repeatedly; 3 anchor seeds; finite attacker family.,sec:study4; Table 5
W02,The Study 4 frontier table (10 conditions x 5 endpoints) reproduces from per-seed rows.,SUPPORTED (recomputed),69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/PER_SEED.csv,kernel_expanded_independent/360/unweighted,ACS 2018 development,none (seed means),50/50 cells within 5e-5,Seed means only; significance is from PAIRED_INTERVALS.,Table 5
W03,All 114 Study 4 trajectories were initialised from A0; none from J.,SUPPORTED,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/seed_*/fits/*/fit_record.json,initialisation,n/a,exact count,75 identical to A0 + 39 A0+PCA; 0 from J,J-initialised fine-tuning untested.,sec:study4
W04,Coalition conditioning beats the weak local control L1 robustly.,SUPPORTED,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/PAIRED_INTERVALS.csv,coalition_vs_local,ACS 2018 development,family-adjusted and candidate-wide,"width 8: 4/4 both levels; width 16: 4/4 adjusted, 3/4 candidate-wide (unweighted)",Weak control; L2 is the relevant strength-matched comparison.,Table 6
W05,Coalition conditioning beats the strength-matched local control L2.,NARROWED,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/PAIRED_INTERVALS.csv,coalition_vs_local,ACS 2018 development,family-adjusted and candidate-wide,"width 16: 1/4 adjusted, 0/4 candidate-wide; width 8: 0/4 both",Original summary used family-adjusted level and omitted the null width-8 row.,Table 6; CORRECTIONS_V4 C2
W06,The C1-vs-L2 residence interval lies entirely above the .001 reference.,WITHDRAWN,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/PAIRED_INTERVALS.csv,dax16_C1_b100 vs dax16_L2_b100 utility/same_residence,ACS 2018 development,family-adjusted; candidate-wide,"+0.00346, adj [+0.0000764,+0.00684], cand-wide [-0.00184,+0.00875]",Crosses .001; candidate-wide contains zero; noninferiority not established.,sec:study4; CORRECTIONS_V4 C1
W07,126 nominal fits -> 123 releases -> 66 distinct -> 60 distinct and new.,SUPPORTED,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/MECHANISM.json,channel_accounting,n/a,exact count,123-57=66; 66-6=60; 3 infeasible,Nominal slots are not distinct models.,Table 11
W08,39 of 72 main arms published a channel bitwise identical to their no-protection continuation.,SUPPORTED (qualified),69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/MECH_BETA_EQUIVALENCE.csv,identical_to_no_protection,n/a,exact count,"18 at beta .1, 18 at .3, 3 at 1.0",Selection outcome: all 63/114 step-0 trajectories had moved (T1 diagnosis).,Table 11; sec:study4
W09,Rescoring stored trajectories at gamma=0 changes 50 of 114 selections.,SUPPORTED (counterfactual selection only),4f09e63c6,results/pcrl_competitive_method_v1/SELECTION_DIAGNOSIS.md; results/pcrl_manuscript_review_v4/SELECTION_RESCORING_CHECK.json,gamma rescoring,n/a,exact count,50/49/43/0 at gamma 0/.01/.1/1,Not retraining; says nothing about what a gamma=0 fit would produce.,sec:study4
W10,Under the single final slate 111 of 114 trajectories would select step 0; contemporaneous 89; fresh probe (used) 63.,SUPPORTED,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_manuscript_review_v4/SELECTION_AUDIT.json,monitor score argmins,n/a,exact count,111 / 89 / 63 of 114; published selection = fresh argmin 114/114,"Monitor score is a selection yardstick, not a protection measurement.",Figure 5
W11,LEACE at width 8 releases a constant channel (retained rank 0).,SUPPORTED (measured); stated reason WITHDRAWN,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/NEW_ERASURE.json,realised_projection_rank,ACS 2018 representation_fit,exact,"rank 0 all seeds, cross-cov after ~1e-35; width16 ranks 6,6,7",'11 > 8' is wrong (nominal 10) and counting does not determine rank.,Table 12; CORRECTIONS_V4 C4
W12,15 of 15 external-baseline 2017 transports admitted by bitwise rebuild of the 2018 release.,SUPPORTED,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/BASELINE_TRANSPORT_COMPLETION.md,identity proofs,ACS 2018 rebuild,exact,15/15 max abs diff 0.0,"Admission check, not a 2017 result.",sec:study4
W13,"On 2017 splince_A0 is the strongest protection arm on AB/SEX and A/RAC1P, at the lowest residence gain.",EXPLORATORY,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/EXPLORATORY_2017.csv,common_fresh/unweighted,ACS 2017 spent partition,none (no intervals),"AB/SEX +0.0009, A/RAC1P +0.0053, residence +0.0148",Spent partition; leace/splince ordering reverses between years.,sec:study4; Table 10
W14,Scope change kernel_expanded_catchup -> kernel_expanded_independent removed a 0.0155-nat artefact on an arm identical to A0.,SUPPORTED (evaluation correction),69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/RESEARCH_DECISION.md,amendment 4,ACS 2018 development,exact equality under new scope,+0.0509 vs +0.0664 old; +0.0548 = +0.0548 new,Not a protection gain.,sec:study4
W15,Refresh kept 84/1350; catch-up 2.1e-5; 720-epoch stress won 0/72 role-cells.,SUPPORTED,69e790af36c5ca53203dab17b757a8e3415ee934,results/pcrl_direct_adversarial_v1/MECHANISM.json; STRESS_COMPARISON.csv,refresh/catchup/stress,ACS 2018 development,counts,84/1350; 2.14e-5 over 1440; 0/72,Bounds the declared finite family in its budget; not that incumbents found everything; not universal.,sec:study4
W16,Composite projection M=Sigma^-1/2 P Sigma^1/2 is idempotent of rank(P) but oblique.,SUPPORTED (algebra + fixture),this branch,results/pcrl_manuscript_review_v4/MATH_FIXTURES.json,F1,synthetic,exact,idempotence err 1.7e-15; asymmetry 1.02,Requires range(P) in covariance support (fixture violation 0.085).,App. H
W17,Mass-scaled local hard projection is an alias of the local projection.,SUPPORTED (proof + fixture),this branch,results/pcrl_manuscript_review_v4/MATH_FIXTURES.json,F2,synthetic,exact,"projector diff 0.0, incl. tied boundary",Fails for absolute-tolerance rank rules and ridge shrinkage.,App. H
W18,"Zero correction is empirically optimal for a fixed-offset, linear, intercept-free family with zero empirical gradient.",SUPPORTED (narrow),this branch,results/pcrl_manuscript_review_v4/MATH_FIXTURES.json,F4,synthetic,exact + direct search,"grad 2.5e-17, improvement 0.0; counterexample with intercept: grad 0.026, improvement 0.0017","Not for retrained H, nonlinear corrections, population leakage.",App. H
W19,Zero finite cross-moments do not imply nothing is recoverable.,SUPPORTED (counterexample),this branch,results/pcrl_manuscript_review_v4/MATH_FIXTURES.json,F6,synthetic,exact construction,moments ~0; rule accuracy 1.0,Applies to LEACE and the proposed projection alike.,App. H
W20,A competitive PCRL method has been established.,NOT ESTABLISHED,n/a,n/a,n/a,n/a,n/a,no candidate; Study 5 has no committed protocol and no outcome | v5: Study 5 (a56bcc7f) also NOT ESTABLISHED; no prospectively selected release met the conjunction. | v6: Study 6 utility-first pilot also NOT ESTABLISHED (0 of 14 configurations).,Remains a hypothesis under active development.,Abstract; sec:study5; Conclusion
S5-01,"No prospectively selected Study 5 release established the declared competitive conjunction, under either weighting, with J as ref_J or historical J.",NOT ESTABLISHED (verdict recomputed),a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/INTERVALS_P.csv,"conjunction over PANEL x {J,ref_J} x {leace_A0,splince_A0,optnet16_C1}",ACS 2018 (development; pools used repeatedly),"paired household-cluster bootstrap, 2000 replicates; studentized Bonferroni, candidate-wide within family P (m=400, z=3.84)",0 of 4 nominees qualify under either weighting,"Negative for this objective, selection rule and family; not a proof that no competitive release exists.",Abstract; sec:study5 Verdict
S5-02,Denominators: 372 nominal slots = 294 distinct audited + 78 exact duplicates; 6 references outside the 372; 54 stress interfaces = (17 releases + H view) x 3; 18 transported = 6 x 3.,SUPPORTED,a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/COUNTS.json; STRESS.json; EXPLORATORY_2017.json,tracks; conditions; rows,ACS 2018 (development; pools used repeatedly),none (exact counts),N 168 -> 102 + 66 dup of untouched start; E 204 -> 192 + 12 constant full-span,Six of the 17 stressed releases are neural arms bitwise equal to J; duplicates inherit canonical audits.,sec:study5 Denominators; app:study5
S5-03,"J-initialised adversarial training was actually tested; low-gamma selection returned untouched J, stronger A0 preservation moved it toward A0.",SUPPORTED,a56bcc7ff7a122a6411ac3072b11b00b75f4cdad,results/pcrl_competitive_method_v1/POINTS_2018.csv; TRACK_N_FITS.json,"N_J_g000*, N_J_g001* == ref_J; N_J_g010/g100 arms",ACS 2018 (development; pools used repeatedly),"none (identity of seed means with ref_J, bitwise per study audit_identity)","every J-arm at gamma in {0,.01} equals ref_J on all endpoints",Under this objective and equal-budget fresh-probe selection only. Earlier studies did not test J initialisation.,sec:study5 Verdict
