method,label,category,wire,weighting,role,loss_nats,H_loss_nats,H_minus_method_nats,anchor_losses_json,anchor_H_losses_json,anchor_canonical_json,anchor_aggregate_report_sha256_json,selection_lock_sha256,development_only,comparison_scope
U_candidate,U candidate,proposed,17-token T0,U,utility:A/same_residence,0.49180224109535303,0.5279480627552794,0.03614582165992636,"[0.49353566839560065,0.4877245072235167,0.4941465476669418]","[0.5305128933496943,0.5242797932521767,0.529051501663967]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
U_candidate,U candidate,proposed,17-token T0,U,attack:A/SEX,0.6876545332901118,0.6891862165620525,0.0015316832719406426,"[0.6847390034256285,0.6853393885569102,0.692885207887797]","[0.6872233320565564,0.6885122870397847,0.6918230305898162]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
U_candidate,U candidate,proposed,17-token T0,U,attack:A/RAC1P,1.29035731680304,1.29035731680304,0.0,"[1.2980539739565906,1.2836079557845248,1.2894100206680048]","[1.2980539739565906,1.2836079557845248,1.2894100206680048]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
U_candidate,U candidate,proposed,17-token T0,U,attack:AB/SEX,0.6867126998020971,0.6911249225791442,0.0044122227770470035,"[0.6805885013989269,0.6834324456963309,0.6961171523110339]","[0.6910400535430347,0.6902060873600093,0.6921286268343886]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
U_candidate,U candidate,proposed,17-token T0,U,attack:AB/RAC1P,1.2719340672264416,1.2726268638981353,0.0006927966716936407,"[1.2726276451730927,1.269401611691914,1.2737729448143182]","[1.2726276451730927,1.269401611691914,1.275851334829399]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
U_candidate,U candidate,proposed,17-token T0,PWGTP,utility:A/same_residence,0.46520719734022203,0.5040369220655553,0.03882972472533325,"[0.46738073961063503,0.4579514927139057,0.4702893596961253]","[0.5094748860755409,0.49740766808427195,0.5052282120368531]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
U_candidate,U candidate,proposed,17-token T0,PWGTP,attack:A/SEX,0.6868871298596572,0.6874126888787053,0.0005255590190481607,"[0.6825286407324592,0.6860631444868764,0.6920696043596355]","[0.685536611275387,0.6857319181281643,0.6909695372325648]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
U_candidate,U candidate,proposed,17-token T0,PWGTP,attack:A/RAC1P,1.2935196476151347,1.2935196476151347,0.0,"[1.3074815983060426,1.28081143076758,1.2922659137717816]","[1.3074815983060426,1.28081143076758,1.2922659137717816]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
U_candidate,U candidate,proposed,17-token T0,PWGTP,attack:AB/SEX,0.6890425590532355,0.6890930317957947,5.047274255920442e-05,"[0.6803097726510902,0.6858795102282866,0.70093839428033]","[0.6882325009820122,0.6876349824080088,0.6914116119973635]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
U_candidate,U candidate,proposed,17-token T0,PWGTP,attack:AB/RAC1P,1.2826843067486713,1.283992931808909,0.001308625060237656,"[1.2922574796882218,1.2711698988088393,1.2846255417489527]","[1.2922574796882218,1.2711698988088393,1.2885514169296661]","[""A_selected"",""A_selected"",""A_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,U,utility:A/same_residence,0.49989029393949674,0.5279480627552794,0.028057768815782647,"[0.5026921513005218,0.4992834801099288,0.49769525040803964]","[0.5305128933496943,0.5242797932521767,0.529051501663967]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,U,attack:A/SEX,0.6900328573306517,0.6891862165620525,-0.0008466407685991939,"[0.6887285337272926,0.6872730692006994,0.6940969690639629]","[0.6872233320565564,0.6885122870397847,0.6918230305898162]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,U,attack:A/RAC1P,1.29035731680304,1.29035731680304,0.0,"[1.2980539739565906,1.2836079557845248,1.2894100206680048]","[1.2980539739565906,1.2836079557845248,1.2894100206680048]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,U,attack:AB/SEX,0.6908376179808634,0.6911249225791442,0.0002873045982807465,"[0.6910400535430347,0.6893441735651671,0.6921286268343886]","[0.6910400535430347,0.6902060873600093,0.6921286268343886]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,U,attack:AB/RAC1P,1.2726268638981353,1.2726268638981353,0.0,"[1.2726276451730927,1.269401611691914,1.275851334829399]","[1.2726276451730927,1.269401611691914,1.275851334829399]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,PWGTP,utility:A/same_residence,0.4741281668348516,0.5040369220655553,0.029908755230703687,"[0.4786491324408829,0.4698742722927279,0.47386109577094393]","[0.5094748860755409,0.49740766808427195,0.5052282120368531]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,PWGTP,attack:A/SEX,0.6878997912340844,0.6874126888787053,-0.00048710235537907653,"[0.6862205978887762,0.6850941512686888,0.6923846245447884]","[0.685536611275387,0.6857319181281643,0.6909695372325648]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,PWGTP,attack:A/RAC1P,1.2935196476151347,1.2935196476151347,0.0,"[1.3074815983060426,1.28081143076758,1.2922659137717816]","[1.3074815983060426,1.28081143076758,1.2922659137717816]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,PWGTP,attack:AB/SEX,0.6892856942440585,0.6890930317957947,-0.00019266244826376955,"[0.6882325009820122,0.6882129697527998,0.6914116119973635]","[0.6882325009820122,0.6876349824080088,0.6914116119973635]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
P_candidate,Privacy-first,proposed,17-token T0,PWGTP,attack:AB/RAC1P,1.283992931808909,1.283992931808909,0.0,"[1.2922574796882218,1.2711698988088393,1.2885514169296661]","[1.2922574796882218,1.2711698988088393,1.2885514169296661]","[""PrivacyFirst_selected"",""PrivacyFirst_selected"",""PrivacyFirst_selected""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,U,utility:A/same_residence,0.4903517837306492,0.5279480627552794,0.0375962790246302,"[0.4939961455147422,0.4858378727131578,0.4912213329640475]","[0.5305128933496943,0.5242797932521767,0.529051501663967]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,U,attack:A/SEX,0.6887560722893413,0.6891862165620525,0.00043014427271115263,"[0.6859878206360263,0.6871285857301256,0.6931518105018721]","[0.6872233320565564,0.6885122870397847,0.6918230305898162]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,U,attack:A/RAC1P,1.2908188601600878,1.29035731680304,-0.00046154335704784444,"[1.2980539739565906,1.284992585855668,1.2894100206680048]","[1.2980539739565906,1.2836079557845248,1.2894100206680048]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,U,attack:AB/SEX,0.6871661051110461,0.6911249225791442,0.003958817468098008,"[0.6842531695021181,0.6892171552501377,0.6880279905808828]","[0.6910400535430347,0.6902060873600093,0.6921286268343886]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,U,attack:AB/RAC1P,1.2734079940257585,1.2726268638981353,-0.0007811301276232641,"[1.2726276451730927,1.2717450020747842,1.275851334829399]","[1.2726276451730927,1.269401611691914,1.275851334829399]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,PWGTP,utility:A/same_residence,0.46429310723876127,0.5040369220655553,0.03974381482679401,"[0.46744116709847283,0.45700196921924097,0.46843618539857007]","[0.5094748860755409,0.49740766808427195,0.5052282120368531]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,PWGTP,attack:A/SEX,0.6882128510168982,0.6874126888787053,-0.0008001621381928947,"[0.6853813763998678,0.6861637685953385,0.6930934080554884]","[0.685536611275387,0.6857319181281643,0.6909695372325648]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,PWGTP,attack:A/RAC1P,1.2940372314660797,1.2935196476151347,-0.0005175838509450248,"[1.3074815983060426,1.2823641823204155,1.2922659137717816]","[1.3074815983060426,1.28081143076758,1.2922659137717816]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,PWGTP,attack:AB/SEX,0.6859610102676287,0.6890930317957947,0.0031320215281660513,"[0.6845689569314949,0.6884376913821648,0.6848763824892262]","[0.6882325009820122,0.6876349824080088,0.6914116119973635]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
D17,D17,matched_control,17-token T0,PWGTP,attack:AB/RAC1P,1.2847674064222554,1.283992931808909,-0.0007744746133464542,"[1.2922574796882218,1.2734933226488785,1.2885514169296661]","[1.2922574796882218,1.2711698988088393,1.2885514169296661]","[""A_control_D17"",""A_control_D17"",""A_control_D17""]","[""d12d1d4bd03b6e6c8415624caf343a5f7917901c8cabba9bed06dba6406634c7"",""7f27850653151cbc9b3197add52765ca9ad0a76f471bec76c3b6eda4ffb596c8"",""4dfd7fc1e73e2a37a7571d2d6c0afa228e75ba82671cb2dd99d0f2b587e87dc0""]",4f894f98af67fd2a79e35ad3697971041aa53451b292b8bdf9691c8dd761f484,true,matched_T0_17_token
