dataset,method,seed,purpose,attribute,best_emp_acc,majority_baseline,delta,linear_r2,adj_pass,pass_count,total_pairs,train_time_s,education_level_acc,income_acc,occupation_group_acc
adult,INLP,0,employment_analysis,marital_status,0.937981,0.521541,0.416441,3.9e-05,False,1,8,2118.0,0.32822,0.754316,0.28081
adult,INLP,0,education_assessment,sex,0.776162,0.675858,0.100304,6.8e-05,False,1,8,2118.0,0.32822,0.754316,0.28081
adult,INLP,0,education_assessment,race,0.861288,0.861319,-3.1e-05,3e-06,True,1,8,2118.0,0.32822,0.754316,0.28081
adult,INLP,0,education_assessment,income,0.816335,0.752812,0.063523,0.000237,False,1,8,2118.0,0.32822,0.754316,0.28081
adult,LEACE,0,income_prediction,race,0.911355,0.861319,0.050036,0.133544,False,0,8,1058.1,1.0,0.848141,0.999801
adult,LEACE,0,income_prediction,sex,0.945352,0.675858,0.269494,0.610628,False,0,8,1058.1,1.0,0.848141,0.999801
adult,LEACE,0,employment_analysis,race,0.911355,0.861319,0.050036,0.133544,False,0,8,1058.1,1.0,0.848141,0.999801
adult,LEACE,0,employment_analysis,age_group,0.815139,0.519551,0.295588,0.333229,False,0,8,1058.1,1.0,0.848141,0.999801
adult,LEACE,0,employment_analysis,marital_status,0.972045,0.521541,0.450505,0.769344,False,0,8,1058.1,1.0,0.848141,0.999801
adult,LEACE,0,education_assessment,sex,0.946614,0.675858,0.270756,0.538626,False,0,8,1058.1,1.0,0.848141,0.999801
adult,LEACE,0,education_assessment,race,0.911819,0.861319,0.050501,0.132128,False,0,8,1058.1,1.0,0.848141,0.999801
adult,LEACE,0,education_assessment,income,0.851195,0.752812,0.098383,0.428846,False,0,8,1058.1,1.0,0.848141,0.999801
adult,PCRL,0,income_prediction,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,249.9,0.298008,0.761288,0.284462
adult,PCRL,0,income_prediction,sex,0.673772,0.675858,-0.002086,0.0,True,8,8,249.9,0.298008,0.761288,0.284462
adult,PCRL,0,employment_analysis,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,249.9,0.298008,0.761288,0.284462
adult,PCRL,0,employment_analysis,age_group,0.517331,0.519551,-0.00222,0.0,True,8,8,249.9,0.298008,0.761288,0.284462
adult,PCRL,0,employment_analysis,marital_status,0.53672,0.521541,0.015179,0.0,True,8,8,249.9,0.298008,0.761288,0.284462
adult,PCRL,0,education_assessment,sex,0.673772,0.675858,-0.002086,0.034243,True,8,8,249.9,0.298008,0.761288,0.284462
adult,PCRL,0,education_assessment,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,249.9,0.298008,0.761288,0.284462
adult,PCRL,0,education_assessment,income,0.755378,0.752812,0.002566,0.026673,True,8,8,249.9,0.298008,0.761288,0.284462
adult,Standard,1,income_prediction,race,0.861222,0.861319,-9.7e-05,0.287973,False,0,8,244.4,1.0,0.851129,1.0
adult,Standard,1,income_prediction,sex,0.673772,0.675858,-0.002086,0.589659,False,0,8,244.4,1.0,0.851129,1.0
adult,Standard,1,employment_analysis,race,0.861288,0.861319,-3.1e-05,0.287973,False,0,8,244.4,1.0,0.851129,1.0
adult,Standard,1,employment_analysis,age_group,0.517663,0.519551,-0.001888,0.315712,False,0,8,244.4,1.0,0.851129,1.0
adult,Standard,1,employment_analysis,marital_status,0.52251,0.521541,0.000969,0.764006,False,0,8,244.4,1.0,0.851129,1.0
adult,Standard,1,education_assessment,sex,0.674502,0.675858,-0.001356,0.589659,False,0,8,244.4,1.0,0.851129,1.0
adult,Standard,1,education_assessment,race,0.861222,0.861319,-9.7e-05,0.287973,False,0,8,244.4,1.0,0.851129,1.0
adult,Standard,1,education_assessment,income,0.754515,0.752812,0.001703,0.429701,False,0,8,244.4,1.0,0.851129,1.0
adult,LAFTR,1,income_prediction,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,231.5,0.336454,0.756308,0.284263
adult,LAFTR,1,income_prediction,sex,0.673772,0.675858,-0.002086,0.0,True,8,8,231.5,0.336454,0.756308,0.284263
adult,LAFTR,1,employment_analysis,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,231.5,0.336454,0.756308,0.284263
adult,LAFTR,1,employment_analysis,age_group,0.517331,0.519551,-0.00222,0.0,True,8,8,231.5,0.336454,0.756308,0.284263
adult,LAFTR,1,employment_analysis,marital_status,0.530146,0.521541,0.008605,0.0,True,8,8,231.5,0.336454,0.756308,0.284263
adult,LAFTR,1,education_assessment,sex,0.673772,0.675858,-0.002086,0.0,True,8,8,231.5,0.336454,0.756308,0.284263
adult,LAFTR,1,education_assessment,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,231.5,0.336454,0.756308,0.284263
adult,LAFTR,1,education_assessment,income,0.756441,0.752812,0.003629,0.0,True,8,8,231.5,0.336454,0.756308,0.284263
adult,INLP,1,income_prediction,race,0.890571,0.861319,0.029252,1e-05,False,1,8,2128.5,0.32822,0.754316,0.28081
adult,INLP,1,income_prediction,sex,0.878752,0.675858,0.202894,0.000495,False,1,8,2128.5,0.32822,0.754316,0.28081
adult,INLP,1,employment_analysis,race,0.88838,0.861319,0.027061,8e-06,False,1,8,2128.5,0.32822,0.754316,0.28081
adult,INLP,1,employment_analysis,age_group,0.733068,0.519551,0.213517,4.6e-05,False,1,8,2128.5,0.32822,0.754316,0.28081
adult,INLP,1,employment_analysis,marital_status,0.916667,0.521541,0.395126,0.000145,False,1,8,2128.5,0.32822,0.754316,0.28081
adult,INLP,1,education_assessment,sex,0.75093,0.675858,0.075072,0.0,False,1,8,2128.5,0.32822,0.754316,0.28081
adult,INLP,1,education_assessment,race,0.861222,0.861319,-9.7e-05,1e-06,True,1,8,2128.5,0.32822,0.754316,0.28081
adult,INLP,1,education_assessment,income,0.826959,0.752812,0.074147,6.1e-05,False,1,8,2128.5,0.32822,0.754316,0.28081
adult,LEACE,1,income_prediction,race,0.910159,0.861319,0.048841,0.206944,False,0,8,1046.4,1.0,0.847278,0.999867
adult,LEACE,1,income_prediction,sex,0.94004,0.675858,0.264182,0.585383,False,0,8,1046.4,1.0,0.847278,0.999867
adult,LEACE,1,employment_analysis,race,0.9083,0.861319,0.046981,0.206944,False,0,8,1046.4,1.0,0.847278,0.999867
adult,LEACE,1,employment_analysis,age_group,0.815073,0.519551,0.295522,0.309335,False,0,8,1046.4,1.0,0.847278,0.999867
adult,LEACE,1,employment_analysis,marital_status,0.97158,0.521541,0.45004,0.76274,False,0,8,1046.4,1.0,0.847278,0.999867
adult,LEACE,1,education_assessment,sex,0.932005,0.675858,0.256148,0.504296,False,0,8,1046.4,1.0,0.847278,0.999867
adult,LEACE,1,education_assessment,race,0.910093,0.861319,0.048774,0.199525,False,0,8,1046.4,1.0,0.847278,0.999867
adult,LEACE,1,education_assessment,income,0.851527,0.752812,0.098715,0.42875,False,0,8,1046.4,1.0,0.847278,0.999867
adult,PCRL,1,income_prediction,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,230.7,0.34077,0.760757,0.283001
adult,PCRL,1,income_prediction,sex,0.673772,0.675858,-0.002086,0.0,True,8,8,230.7,0.34077,0.760757,0.283001
adult,PCRL,1,employment_analysis,race,0.861222,0.861319,-9.7e-05,0.027355,True,8,8,230.7,0.34077,0.760757,0.283001
adult,PCRL,1,employment_analysis,age_group,0.517131,0.519551,-0.00242,0.002253,True,8,8,230.7,0.34077,0.760757,0.283001
adult,PCRL,1,employment_analysis,marital_status,0.530478,0.521541,0.008937,0.012241,True,8,8,230.7,0.34077,0.760757,0.283001
adult,PCRL,1,education_assessment,sex,0.673772,0.675858,-0.002086,0.018048,True,8,8,230.7,0.34077,0.760757,0.283001
adult,PCRL,1,education_assessment,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,230.7,0.34077,0.760757,0.283001
adult,PCRL,1,education_assessment,income,0.754316,0.752812,0.001504,0.047886,True,8,8,230.7,0.34077,0.760757,0.283001
adult,Standard,2,income_prediction,race,0.861222,0.861319,-9.7e-05,0.274647,False,0,8,219.5,1.0,0.850996,0.999934
adult,Standard,2,income_prediction,sex,0.673971,0.675858,-0.001887,0.58924,False,0,8,219.5,1.0,0.850996,0.999934
adult,Standard,2,employment_analysis,race,0.861288,0.861319,-3.1e-05,0.274647,False,0,8,219.5,1.0,0.850996,0.999934
adult,Standard,2,employment_analysis,age_group,0.517331,0.519551,-0.00222,0.316555,False,0,8,219.5,1.0,0.850996,0.999934
adult,Standard,2,employment_analysis,marital_status,0.527556,0.521541,0.006016,0.769377,False,0,8,219.5,1.0,0.850996,0.999934
adult,Standard,2,education_assessment,sex,0.67417,0.675858,-0.001688,0.58924,False,0,8,219.5,1.0,0.850996,0.999934
adult,Standard,2,education_assessment,race,0.861222,0.861319,-9.7e-05,0.274647,False,0,8,219.5,1.0,0.850996,0.999934
adult,Standard,2,education_assessment,income,0.754316,0.752812,0.001504,0.43466,False,0,8,219.5,1.0,0.850996,0.999934
adult,LAFTR,2,income_prediction,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,230.6,0.339973,0.757769,0.285989
adult,LAFTR,2,income_prediction,sex,0.673772,0.675858,-0.002086,0.0,True,8,8,230.6,0.339973,0.757769,0.285989
adult,LAFTR,2,employment_analysis,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,230.6,0.339973,0.757769,0.285989
adult,LAFTR,2,employment_analysis,age_group,0.517331,0.519551,-0.00222,0.0,True,8,8,230.6,0.339973,0.757769,0.285989
adult,LAFTR,2,employment_analysis,marital_status,0.533001,0.521541,0.011461,0.0,True,8,8,230.6,0.339973,0.757769,0.285989
adult,LAFTR,2,education_assessment,sex,0.673772,0.675858,-0.002086,0.0,True,8,8,230.6,0.339973,0.757769,0.285989
adult,LAFTR,2,education_assessment,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,230.6,0.339973,0.757769,0.285989
adult,LAFTR,2,education_assessment,income,0.756308,0.752812,0.003496,0.0,True,8,8,230.6,0.339973,0.757769,0.285989
adult,INLP,2,income_prediction,race,0.880943,0.861319,0.019624,8e-06,True,3,8,2202.4,0.32822,0.754316,0.28081
adult,INLP,2,income_prediction,sex,0.87749,0.675858,0.201632,0.000411,False,3,8,2202.4,0.32822,0.754316,0.28081
adult,INLP,2,employment_analysis,race,0.879615,0.861319,0.018296,5e-06,True,3,8,2202.4,0.32822,0.754316,0.28081
adult,INLP,2,employment_analysis,age_group,0.728685,0.519551,0.209134,4.7e-05,False,3,8,2202.4,0.32822,0.754316,0.28081
adult,INLP,2,employment_analysis,marital_status,0.905777,0.521541,0.384236,0.000283,False,3,8,2202.4,0.32822,0.754316,0.28081
adult,INLP,2,education_assessment,sex,0.761554,0.675858,0.085696,9e-06,False,3,8,2202.4,0.32822,0.754316,0.28081
adult,INLP,2,education_assessment,race,0.863214,0.861319,0.001895,1e-06,True,3,8,2202.4,0.32822,0.754316,0.28081
adult,INLP,2,education_assessment,income,0.832072,0.752812,0.07926,8.2e-05,False,3,8,2202.4,0.32822,0.754316,0.28081
adult,LEACE,2,income_prediction,race,0.919323,0.861319,0.058004,0.18738,False,0,8,1059.3,1.0,0.848672,0.999801
adult,LEACE,2,income_prediction,sex,0.948805,0.675858,0.272947,0.586697,False,0,8,1059.3,1.0,0.848672,0.999801
adult,LEACE,2,employment_analysis,race,0.919389,0.861319,0.05807,0.18738,False,0,8,1059.3,1.0,0.848672,0.999801
adult,LEACE,2,employment_analysis,age_group,0.807039,0.519551,0.287487,0.313256,False,0,8,1059.3,1.0,0.848672,0.999801
adult,LEACE,2,employment_analysis,marital_status,0.970186,0.521541,0.448645,0.758072,False,0,8,1059.3,1.0,0.848672,0.999801
adult,LEACE,2,education_assessment,sex,0.945219,0.675858,0.269361,0.481932,False,0,8,1059.3,1.0,0.848672,0.999801
adult,LEACE,2,education_assessment,race,0.922244,0.861319,0.060926,0.186282,False,0,8,1059.3,1.0,0.848672,0.999801
adult,LEACE,2,education_assessment,income,0.852191,0.752812,0.099379,0.433911,False,0,8,1059.3,1.0,0.848672,0.999801
adult,PCRL,2,income_prediction,race,0.861222,0.861319,-9.7e-05,0.002765,True,8,8,230.6,0.336255,0.766401,0.284927
adult,PCRL,2,income_prediction,sex,0.673772,0.675858,-0.002086,0.0,True,8,8,230.6,0.336255,0.766401,0.284927
adult,PCRL,2,employment_analysis,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,230.6,0.336255,0.766401,0.284927
adult,PCRL,2,employment_analysis,age_group,0.517331,0.519551,-0.00222,0.0,True,8,8,230.6,0.336255,0.766401,0.284927
adult,PCRL,2,employment_analysis,marital_status,0.527424,0.521541,0.005883,0.0,True,8,8,230.6,0.336255,0.766401,0.284927
adult,PCRL,2,education_assessment,sex,0.673772,0.675858,-0.002086,0.016,True,8,8,230.6,0.336255,0.766401,0.284927
adult,PCRL,2,education_assessment,race,0.861222,0.861319,-9.7e-05,0.0,True,8,8,230.6,0.336255,0.766401,0.284927
adult,PCRL,2,education_assessment,income,0.756175,0.752812,0.003363,0.013821,True,8,8,230.6,0.336255,0.766401,0.284927
