attribute_i,attribute_j,method,delta,r_squared,adj_pass,allowed_task_acc,delta_i,delta_j,r2_i,r2_j
marital-status,capital-loss,sequential,0.403749,0.955859,False,0.750664,0.403749,0.046284,0.44145,0.955859
marital-status,hours-per-week,additive,0.436551,0.533827,False,0.722576,0.436551,0.348428,0.533827,0.258946
marital-status,hours-per-week,sequential,0.403749,0.44145,False,0.750664,0.403749,0.308787,0.44145,0.227076
marital-status,native-country,additive,0.436551,0.533827,False,0.722576,0.436551,0.048753,0.533827,0.349749
marital-status,native-country,sequential,0.403749,0.44145,False,0.750664,0.403749,0.043574,0.44145,0.347758
occupation,relationship,additive,0.772682,0.547276,False,0.722576,0.772682,0.493784,0.512435,0.547276
occupation,relationship,sequential,0.728591,0.477136,False,0.750664,0.728591,0.458924,0.46337,0.477136
occupation,race,additive,0.772682,0.512435,False,0.722576,0.772682,0.062386,0.512435,0.263048
occupation,race,sequential,0.728591,0.46337,False,0.750664,0.728591,0.062519,0.46337,0.286573
occupation,sex,additive,0.772682,0.512435,False,0.722576,0.772682,0.244063,0.512435,0.505262
occupation,sex,sequential,0.728591,0.46337,False,0.750664,0.728591,0.224076,0.46337,0.44112
occupation,capital-gain,additive,0.772682,0.512435,False,0.722576,0.772682,0.038229,0.512435,0.348262
occupation,capital-gain,sequential,0.728591,0.46337,False,0.750664,0.728591,0.040752,0.46337,0.373746
occupation,capital-loss,additive,0.772682,0.947178,False,0.722576,0.772682,0.046351,0.512435,0.947178
occupation,capital-loss,sequential,0.728591,0.955859,False,0.750664,0.728591,0.046284,0.46337,0.955859
occupation,hours-per-week,additive,0.772682,0.512435,False,0.722576,0.772682,0.348428,0.512435,0.258946
occupation,hours-per-week,sequential,0.728591,0.46337,False,0.750664,0.728591,0.308787,0.46337,0.227076
occupation,native-country,additive,0.772682,0.512435,False,0.722576,0.772682,0.048753,0.512435,0.349749
occupation,native-country,sequential,0.728591,0.46337,False,0.750664,0.728591,0.043574,0.46337,0.347758
relationship,race,additive,0.493784,0.547276,False,0.722576,0.493784,0.062386,0.547276,0.263048
relationship,race,sequential,0.458924,0.477136,False,0.750664,0.458924,0.062519,0.477136,0.286573
relationship,sex,additive,0.493784,0.547276,False,0.722576,0.493784,0.244063,0.547276,0.505262
relationship,sex,sequential,0.458924,0.477136,False,0.750664,0.458924,0.224076,0.477136,0.44112
relationship,capital-gain,additive,0.493784,0.547276,False,0.722576,0.493784,0.038229,0.547276,0.348262
relationship,capital-gain,sequential,0.458924,0.477136,False,0.750664,0.458924,0.040752,0.477136,0.373746
relationship,capital-loss,additive,0.493784,0.947178,False,0.722576,0.493784,0.046351,0.547276,0.947178
relationship,capital-loss,sequential,0.458924,0.955859,False,0.750664,0.458924,0.046284,0.477136,0.955859
relationship,hours-per-week,additive,0.493784,0.547276,False,0.722576,0.493784,0.348428,0.547276,0.258946
relationship,hours-per-week,sequential,0.458924,0.477136,False,0.750664,0.458924,0.308787,0.477136,0.227076
relationship,native-country,additive,0.493784,0.547276,False,0.722576,0.493784,0.048753,0.547276,0.349749
relationship,native-country,sequential,0.458924,0.477136,False,0.750664,0.458924,0.043574,0.477136,0.347758
race,sex,additive,0.244063,0.505262,False,0.722576,0.062386,0.244063,0.263048,0.505262
race,sex,sequential,0.224076,0.44112,False,0.750664,0.062519,0.224076,0.286573,0.44112
race,capital-gain,additive,0.062386,0.348262,False,0.722576,0.062386,0.038229,0.263048,0.348262
race,capital-gain,sequential,0.062519,0.373746,False,0.750664,0.062519,0.040752,0.286573,0.373746
race,capital-loss,additive,0.062386,0.947178,False,0.722576,0.062386,0.046351,0.263048,0.947178
race,capital-loss,sequential,0.062519,0.955859,False,0.750664,0.062519,0.046284,0.286573,0.955859
race,hours-per-week,additive,0.348428,0.263048,False,0.722576,0.062386,0.348428,0.263048,0.258946
race,hours-per-week,sequential,0.308787,0.286573,False,0.750664,0.062519,0.308787,0.286573,0.227076
race,native-country,additive,0.062386,0.349749,False,0.722576,0.062386,0.048753,0.263048,0.349749
race,native-country,sequential,0.062519,0.347758,False,0.750664,0.062519,0.043574,0.286573,0.347758
sex,capital-gain,additive,0.244063,0.505262,False,0.722576,0.244063,0.038229,0.505262,0.348262
sex,capital-gain,sequential,0.224076,0.44112,False,0.750664,0.224076,0.040752,0.44112,0.373746
sex,capital-loss,additive,0.244063,0.947178,False,0.722576,0.244063,0.046351,0.505262,0.947178
sex,capital-loss,sequential,0.224076,0.955859,False,0.750664,0.224076,0.046284,0.44112,0.955859
sex,hours-per-week,additive,0.348428,0.505262,False,0.722576,0.244063,0.348428,0.505262,0.258946
sex,hours-per-week,sequential,0.308787,0.44112,False,0.750664,0.224076,0.308787,0.44112,0.227076
sex,native-country,additive,0.244063,0.505262,False,0.722576,0.244063,0.048753,0.505262,0.349749
sex,native-country,sequential,0.224076,0.44112,False,0.750664,0.224076,0.043574,0.44112,0.347758
capital-gain,capital-loss,additive,0.046351,0.947178,False,0.722576,0.038229,0.046351,0.348262,0.947178
capital-gain,capital-loss,sequential,0.046284,0.955859,False,0.750664,0.040752,0.046284,0.373746,0.955859
capital-gain,hours-per-week,additive,0.348428,0.348262,False,0.722576,0.038229,0.348428,0.348262,0.258946
capital-gain,hours-per-week,sequential,0.308787,0.373746,False,0.750664,0.040752,0.308787,0.373746,0.227076
capital-gain,native-country,additive,0.048753,0.349749,False,0.722576,0.038229,0.048753,0.348262,0.349749
capital-gain,native-country,sequential,0.043574,0.373746,False,0.750664,0.040752,0.043574,0.373746,0.347758
capital-loss,hours-per-week,additive,0.348428,0.947178,False,0.722576,0.046351,0.348428,0.947178,0.258946
capital-loss,hours-per-week,sequential,0.308787,0.955859,False,0.750664,0.046284,0.308787,0.955859,0.227076
capital-loss,native-country,additive,0.048753,0.947178,False,0.722576,0.046351,0.048753,0.947178,0.349749
capital-loss,native-country,sequential,0.046284,0.955859,False,0.750664,0.046284,0.043574,0.955859,0.347758
hours-per-week,native-country,additive,0.348428,0.349749,False,0.722576,0.348428,0.048753,0.258946,0.349749
hours-per-week,native-country,sequential,0.308787,0.347758,False,0.750664,0.308787,0.043574,0.227076,0.347758
